id,role,start_time,end_time,required_skill
S1,early_morning_cook,2025-07-07T05:00:00Z,2025-07-07T13:00:00Z,cook
S2,morning_cook,2025-07-07T06:00:00Z,2025-07-07T14:00:00Z,cook
S3,prep_cook_early,2025-07-07T04:00:00Z,2025-07-07T12:00:00Z,prep_cook
S4,dishwasher_morning,2025-07-07T07:00:00Z,2025-07-07T15:00:00Z,dishwasher
S5,cashier_opening,2025-07-07T08:00:00Z,2025-07-07T16:00:00Z,cashier
S6,server_lunch,2025-07-07T10:00:00Z,2025-07-07T18:00:00Z,server
S7,host_day,2025-07-07T09:00:00Z,2025-07-07T17:00:00Z,host
S8,manager_day,2025-07-07T08:00:00Z,2025-07-07T16:00:00Z,manager
S9,grill_cook_lunch,2025-07-07T11:00:00Z,2025-07-07T19:00:00Z,grill_cook
S10,server_afternoon,2025-07-07T14:00:00Z,2025-07-07T22:00:00Z,server
S11,cashier_afternoon,2025-07-07T12:00:00Z,2025-07-07T20:00:00Z,cashier
S12,cook_dinner,2025-07-07T15:00:00Z,2025-07-07T23:00:00Z,cook
S13,bartender_evening,2025-07-07T17:00:00Z,2025-07-08T01:00:00Z,bartender
S14,server_evening,2025-07-07T16:00:00Z,2025-07-08T00:00:00Z,server
S15,host_evening,2025-07-07T18:00:00Z,2025-07-08T02:00:00Z,host
S16,manager_closing,2025-07-07T19:00:00Z,2025-07-08T03:00:00Z,manager
S17,dishwasher_evening,2025-07-07T20:00:00Z,2025-07-08T04:00:00Z,dishwasher
S18,prep_cook_night,2025-07-07T21:00:00Z,2025-07-08T05:00:00Z,prep_cook
S19,grill_cook_dinner,2025-07-07T16:00:00Z,2025-07-08T00:00:00Z,grill_cook
S20,server_late,2025-07-07T20:00:00Z,2025-07-08T04:00:00Z,server
S21,early_morning_cook,2025-07-08T05:00:00Z,2025-07-08T13:00:00Z,cook
S22,morning_cook,2025-07-08T06:00:00Z,2025-07-08T14:00:00Z,cook
S23,prep_cook_early,2025-07-08T04:00:00Z,2025-07-08T12:00:00Z,prep_cook
S24,dishwasher_morning,2025-07-08T07:00:00Z,2025-07-08T15:00:00Z,dishwasher
S25,cashier_opening,2025-07-08T08:00:00Z,2025-07-08T16:00:00Z,cashier
S26,server_lunch,2025-07-08T10:00:00Z,2025-07-08T18:00:00Z,server
S27,host_day,2025-07-08T09:00:00Z,2025-07-08T17:00:00Z,host
S28,manager_day,2025-07-08T08:00:00Z,2025-07-08T16:00:00Z,manager
S29,grill_cook_lunch,2025-07-08T11:00:00Z,2025-07-08T19:00:00Z,grill_cook
S30,server_afternoon,2025-07-08T14:00:00Z,2025-07-08T22:00:00Z,server
S31,cashier_afternoon,2025-07-08T12:00:00Z,2025-07-08T20:00:00Z,cashier
S32,cook_dinner,2025-07-08T15:00:00Z,2025-07-08T23:00:00Z,cook
S33,bartender_evening,2025-07-08T17:00:00Z,2025-07-09T01:00:00Z,bartender
S34,server_evening,2025-07-08T16:00:00Z,2025-07-09T00:00:00Z,server
S35,host_evening,2025-07-08T18:00:00Z,2025-07-09T02:00:00Z,host
S36,manager_closing,2025-07-08T19:00:00Z,2025-07-09T03:00:00Z,manager
S37,dishwasher_evening,2025-07-08T20:00:00Z,2025-07-09T04:00:00Z,dishwasher
S38,prep_cook_night,2025-07-08T21:00:00Z,2025-07-09T05:00:00Z,prep_cook
S39,grill_cook_dinner,2025-07-08T16:00:00Z,2025-07-09T00:00:00Z,grill_cook
S40,server_late,2025-07-08T20:00:00Z,2025-07-09T04:00:00Z,server
S41,early_morning_cook,2025-07-09T05:00:00Z,2025-07-09T13:00:00Z,cook
S42,morning_cook,2025-07-09T06:00:00Z,2025-07-09T14:00:00Z,cook
S43,prep_cook_early,2025-07-09T04:00:00Z,2025-07-09T12:00:00Z,prep_cook
S44,dishwasher_morning,2025-07-09T07:00:00Z,2025-07-09T15:00:00Z,dishwasher
S45,cashier_opening,2025-07-09T08:00:00Z,2025-07-09T16:00:00Z,cashier
S46,server_lunch,2025-07-09T10:00:00Z,2025-07-09T18:00:00Z,server
S47,host_day,2025-07-09T09:00:00Z,2025-07-09T17:00:00Z,host
S48,manager_day,2025-07-09T08:00:00Z,2025-07-09T16:00:00Z,manager
S49,grill_cook_lunch,2025-07-09T11:00:00Z,2025-07-09T19:00:00Z,grill_cook
S50,server_afternoon,2025-07-09T14:00:00Z,2025-07-09T22:00:00Z,server
S51,cashier_afternoon,2025-07-09T12:00:00Z,2025-07-09T20:00:00Z,cashier
S52,cook_dinner,2025-07-09T15:00:00Z,2025-07-09T23:00:00Z,cook
S53,bartender_evening,2025-07-09T17:00:00Z,2025-07-10T01:00:00Z,bartender
S54,server_evening,2025-07-09T16:00:00Z,2025-07-10T00:00:00Z,server
S55,host_evening,2025-07-09T18:00:00Z,2025-07-10T02:00:00Z,host
S56,manager_closing,2025-07-09T19:00:00Z,2025-07-10T03:00:00Z,manager
S57,dishwasher_evening,2025-07-09T20:00:00Z,2025-07-10T04:00:00Z,dishwasher
S58,prep_cook_night,2025-07-09T21:00:00Z,2025-07-10T05:00:00Z,prep_cook
S59,grill_cook_dinner,2025-07-09T16:00:00Z,2025-07-10T00:00:00Z,grill_cook
S60,server_late,2025-07-09T20:00:00Z,2025-07-10T04:00:00Z,server
S61,early_morning_cook,2025-07-10T05:00:00Z,2025-07-10T13:00:00Z,cook
S62,morning_cook,2025-07-10T06:00:00Z,2025-07-10T14:00:00Z,cook
S63,prep_cook_early,2025-07-10T04:00:00Z,2025-07-10T12:00:00Z,prep_cook
S64,dishwasher_morning,2025-07-10T07:00:00Z,2025-07-10T15:00:00Z,dishwasher
S65,cashier_opening,2025-07-10T08:00:00Z,2025-07-10T16:00:00Z,cashier
S66,server_lunch,2025-07-10T10:00:00Z,2025-07-10T18:00:00Z,server
S67,host_day,2025-07-10T09:00:00Z,2025-07-10T17:00:00Z,host
S68,manager_day,2025-07-10T08:00:00Z,2025-07-10T16:00:00Z,manager
S69,grill_cook_lunch,2025-07-10T11:00:00Z,2025-07-10T19:00:00Z,grill_cook
S70,server_afternoon,2025-07-10T14:00:00Z,2025-07-10T22:00:00Z,server
S71,cashier_afternoon,2025-07-10T12:00:00Z,2025-07-10T20:00:00Z,cashier
S72,cook_dinner,2025-07-10T15:00:00Z,2025-07-10T23:00:00Z,cook
S73,bartender_evening,2025-07-10T17:00:00Z,2025-07-11T01:00:00Z,bartender
S74,server_evening,2025-07-10T16:00:00Z,2025-07-11T00:00:00Z,server
S75,host_evening,2025-07-10T18:00:00Z,2025-07-11T02:00:00Z,host
S76,manager_closing,2025-07-10T19:00:00Z,2025-07-11T03:00:00Z,manager
S77,dishwasher_evening,2025-07-10T20:00:00Z,2025-07-11T04:00:00Z,dishwasher
S78,prep_cook_night,2025-07-10T21:00:00Z,2025-07-11T05:00:00Z,prep_cook
S79,grill_cook_dinner,2025-07-10T16:00:00Z,2025-07-11T00:00:00Z,grill_cook
S80,server_late,2025-07-10T20:00:00Z,2025-07-11T04:00:00Z,server
