id,role,start_time,end_time,required_skill
S1,morning_cook,2025-07-07T08:00:00,2025-07-07T16:00:00,cook
S2,afternoon_cook,2025-07-07T14:00:00,2025-07-07T22:00:00,cook
S3,morning_cashier,2025-07-07T09:00:00,2025-07-07T17:00:00,cashier
S4,evening_cashier,2025-07-07T17:00:00,2025-07-08T01:00:00,cashier
S5,day_manager,2025-07-07T10:00:00,2025-07-07T18:00:00,manager
S6,morning_cook,2025-07-08T08:00:00,2025-07-08T16:00:00,cook
S7,afternoon_cook,2025-07-08T14:00:00,2025-07-08T22:00:00,cook
S8,morning_cashier,2025-07-08T09:00:00,2025-07-08T17:00:00,cashier
S9,evening_cashier,2025-07-08T17:00:00,2025-07-09T01:00:00,cashier
S10,day_manager,2025-07-08T10:00:00,2025-07-08T18:00:00,manager
S11,morning_cook,2025-07-09T08:00:00,2025-07-09T16:00:00,cook
S12,afternoon_cook,2025-07-09T14:00:00,2025-07-09T22:00:00,cook
S13,morning_cashier,2025-07-09T09:00:00,2025-07-09T17:00:00,cashier
S14,evening_cashier,2025-07-09T17:00:00,2025-07-10T01:00:00,cashier
S15,customer_service,2025-07-09T10:00:00,2025-07-09T18:00:00,customer_service
S16,inventory_shift,2025-07-10T06:00:00,2025-07-10T14:00:00,inventory
S17,maintenance_shift,2025-07-10T08:00:00,2025-07-10T16:00:00,maintenance
S18,morning_cook,2025-07-10T08:00:00,2025-07-10T16:00:00,cook
S19,afternoon_cashier,2025-07-10T14:00:00,2025-07-10T22:00:00,cashier
S20,customer_service,2025-07-10T11:00:00,2025-07-10T19:00:00,customer_service
