id,role,start_time,end_time,required_skill
S1,morning_cook,2025-07-07T06:00:00,2025-07-07T14:00:00,cook
S2,afternoon_cook,2025-07-07T12:00:00,2025-07-07T20:00:00,cook
S3,evening_cook,2025-07-07T18:00:00,2025-07-08T02:00:00,cook
S4,morning_cashier,2025-07-07T07:00:00,2025-07-07T15:00:00,cashier
S5,afternoon_cashier,2025-07-07T13:00:00,2025-07-07T21:00:00,cashier
S6,evening_cashier,2025-07-07T19:00:00,2025-07-08T03:00:00,cashier
S7,day_manager,2025-07-07T08:00:00,2025-07-07T16:00:00,manager
S8,evening_manager,2025-07-07T16:00:00,2025-07-08T00:00:00,manager
S9,morning_customer_service,2025-07-07T09:00:00,2025-07-07T17:00:00,customer_service
S10,afternoon_customer_service,2025-07-07T15:00:00,2025-07-07T23:00:00,customer_service
S11,inventory_morning,2025-07-07T06:00:00,2025-07-07T14:00:00,inventory
S12,maintenance_morning,2025-07-07T07:00:00,2025-07-07T15:00:00,maintenance
S13,morning_cook,2025-07-08T06:00:00,2025-07-08T14:00:00,cook
S14,afternoon_cook,2025-07-08T12:00:00,2025-07-08T20:00:00,cook
S15,evening_cook,2025-07-08T18:00:00,2025-07-09T02:00:00,cook
S16,morning_cashier,2025-07-08T07:00:00,2025-07-08T15:00:00,cashier
S17,afternoon_cashier,2025-07-08T13:00:00,2025-07-08T21:00:00,cashier
S18,evening_cashier,2025-07-08T19:00:00,2025-07-09T03:00:00,cashier
S19,day_manager,2025-07-08T08:00:00,2025-07-08T16:00:00,manager
S20,evening_manager,2025-07-08T16:00:00,2025-07-09T00:00:00,manager
S21,morning_customer_service,2025-07-08T09:00:00,2025-07-08T17:00:00,customer_service
S22,afternoon_customer_service,2025-07-08T15:00:00,2025-07-08T23:00:00,customer_service
S23,inventory_afternoon,2025-07-08T14:00:00,2025-07-08T22:00:00,inventory
S24,maintenance_afternoon,2025-07-08T15:00:00,2025-07-08T23:00:00,maintenance
S25,morning_cook,2025-07-09T06:00:00,2025-07-09T14:00:00,cook
S26,afternoon_cook,2025-07-09T12:00:00,2025-07-09T20:00:00,cook
S27,evening_cook,2025-07-09T18:00:00,2025-07-10T02:00:00,cook
S28,morning_cashier,2025-07-09T07:00:00,2025-07-09T15:00:00,cashier
S29,afternoon_cashier,2025-07-09T13:00:00,2025-07-09T21:00:00,cashier
S30,evening_cashier,2025-07-09T19:00:00,2025-07-10T03:00:00,cashier
S31,day_manager,2025-07-09T08:00:00,2025-07-09T16:00:00,manager
S32,evening_manager,2025-07-09T16:00:00,2025-07-10T00:00:00,manager
S33,morning_customer_service,2025-07-09T09:00:00,2025-07-09T17:00:00,customer_service
S34,afternoon_customer_service,2025-07-09T15:00:00,2025-07-09T23:00:00,customer_service
S35,inventory_evening,2025-07-09T20:00:00,2025-07-10T04:00:00,inventory
S36,maintenance_evening,2025-07-09T21:00:00,2025-07-10T05:00:00,maintenance
S37,morning_cook,2025-07-10T06:00:00,2025-07-10T14:00:00,cook
S38,afternoon_cook,2025-07-10T12:00:00,2025-07-10T20:00:00,cook
S39,evening_cook,2025-07-10T18:00:00,2025-07-11T02:00:00,cook
S40,morning_cashier,2025-07-10T07:00:00,2025-07-10T15:00:00,cashier
S41,afternoon_cashier,2025-07-10T13:00:00,2025-07-10T21:00:00,cashier
S42,evening_cashier,2025-07-10T19:00:00,2025-07-11T03:00:00,cashier
S43,day_manager,2025-07-10T08:00:00,2025-07-10T16:00:00,manager
S44,evening_manager,2025-07-10T16:00:00,2025-07-11T00:00:00,manager
S45,morning_customer_service,2025-07-10T09:00:00,2025-07-10T17:00:00,customer_service
S46,afternoon_customer_service,2025-07-10T15:00:00,2025-07-10T23:00:00,customer_service
S47,inventory_morning,2025-07-10T06:00:00,2025-07-10T14:00:00,inventory
S48,maintenance_morning,2025-07-10T07:00:00,2025-07-10T15:00:00,maintenance
S49,morning_cook,2025-07-11T06:00:00,2025-07-11T14:00:00,cook
S50,afternoon_cook,2025-07-11T12:00:00,2025-07-11T20:00:00,cook
S51,evening_cook,2025-07-11T18:00:00,2025-07-12T02:00:00,cook
S52,morning_cashier,2025-07-11T07:00:00,2025-07-11T15:00:00,cashier
S53,afternoon_cashier,2025-07-11T13:00:00,2025-07-11T21:00:00,cashier
S54,evening_cashier,2025-07-11T19:00:00,2025-07-12T03:00:00,cashier
S55,day_manager,2025-07-11T08:00:00,2025-07-11T16:00:00,manager
S56,evening_manager,2025-07-11T16:00:00,2025-07-12T00:00:00,manager
S57,morning_customer_service,2025-07-11T09:00:00,2025-07-11T17:00:00,customer_service
S58,afternoon_customer_service,2025-07-11T15:00:00,2025-07-11T23:00:00,customer_service
S59,inventory_afternoon,2025-07-11T14:00:00,2025-07-11T22:00:00,inventory
S60,maintenance_afternoon,2025-07-11T15:00:00,2025-07-11T23:00:00,maintenance
S61,weekend_morning_cook,2025-07-12T07:00:00,2025-07-12T15:00:00,cook
S62,weekend_afternoon_cook,2025-07-12T13:00:00,2025-07-12T21:00:00,cook
S63,weekend_evening_cook,2025-07-12T19:00:00,2025-07-13T03:00:00,cook
S64,weekend_morning_cashier,2025-07-12T08:00:00,2025-07-12T16:00:00,cashier
S65,weekend_afternoon_cashier,2025-07-12T14:00:00,2025-07-12T22:00:00,cashier
S66,weekend_evening_cashier,2025-07-12T20:00:00,2025-07-13T04:00:00,cashier
S67,weekend_day_manager,2025-07-12T09:00:00,2025-07-12T17:00:00,manager
S68,weekend_evening_manager,2025-07-12T17:00:00,2025-07-13T01:00:00,manager
S69,weekend_customer_service,2025-07-12T10:00:00,2025-07-12T18:00:00,customer_service
S70,weekend_afternoon_customer_service,2025-07-12T16:00:00,2025-07-13T00:00:00,customer_service
S71,weekend_inventory,2025-07-12T08:00:00,2025-07-12T16:00:00,inventory
S72,weekend_maintenance,2025-07-12T09:00:00,2025-07-12T17:00:00,maintenance
S73,weekend_morning_cook,2025-07-13T07:00:00,2025-07-13T15:00:00,cook
S74,weekend_afternoon_cook,2025-07-13T13:00:00,2025-07-13T21:00:00,cook
S75,weekend_evening_cook,2025-07-13T19:00:00,2025-07-14T03:00:00,cook
S76,weekend_morning_cashier,2025-07-13T08:00:00,2025-07-13T16:00:00,cashier
S77,weekend_afternoon_cashier,2025-07-13T14:00:00,2025-07-13T22:00:00,cashier
S78,weekend_evening_cashier,2025-07-13T20:00:00,2025-07-14T04:00:00,cashier
S79,weekend_day_manager,2025-07-13T09:00:00,2025-07-13T17:00:00,manager
S80,weekend_evening_manager,2025-07-13T17:00:00,2025-07-14T01:00:00,manager
S81,weekend_customer_service,2025-07-13T10:00:00,2025-07-13T18:00:00,customer_service
S82,weekend_afternoon_customer_service,2025-07-13T16:00:00,2025-07-14T00:00:00,customer_service
S83,weekend_inventory,2025-07-13T08:00:00,2025-07-13T16:00:00,inventory
S84,weekend_maintenance,2025-07-13T09:00:00,2025-07-13T17:00:00,maintenance
S85,extra_morning_cook,2025-07-07T05:00:00,2025-07-07T13:00:00,cook
S86,extra_evening_cook,2025-07-07T20:00:00,2025-07-08T04:00:00,cook
S87,extra_morning_cashier,2025-07-08T06:00:00,2025-07-08T14:00:00,cashier
S88,extra_evening_cashier,2025-07-08T21:00:00,2025-07-09T05:00:00,cashier
S89,extra_customer_service,2025-07-09T11:00:00,2025-07-09T19:00:00,customer_service
